id_produkcji,tytul,rezyser,kraj,czy_serial,dlugosc_filmu,rok_produkcji,czy_dla_dzieci
956,The Buddy Holly Story,Steve Rash,Stany Zjednoczone,f,01:54:00,1978,t
957,California Suite,Herbert Ross,Stany Zjednoczone,f,01:43:00,1978,t
958,Il gatto venuto dallo spazio,Norman Tokar,Stany Zjednoczone,f,01:44:00,1978,t
959,Chi vive in quella casa?,Pete Walker,Wielka Brytania,f,01:40:00,1978,t
960,La svignata,Gérard Oury,Francja,f,01:40:00,1978,f
961,La chanson de Roland,Frank Cassenti,Francja,f,01:50:00,1978,t
962,Delirium House la casa del delirio,Frederick R. Friedel,Stany Zjednoczone,f,01:16:00,1976,f
963,"Driver, l'imprendibile",Walter Hill,Stany Zjednoczone,f,01:31:00,1978,f
964,"Like Father, Like Son",Duke Mitchell,Stany Zjednoczone,f,01:19:00,1974,t
965,Pornorella,Harry Hurwitz,Stany Zjednoczone,f,01:16:00,1978,t
966,Cinque giorni ancora,George Peppard,Stany Zjednoczone,f,01:48:00,1978,t
967,Gioco sleale,Colin Higgins,Stany Zjednoczone,f,01:56:00,1978,f
968,The Glove,Ross Hagen,Stany Zjednoczone,f,01:32:00,1979,t
969,Salvate il Gray Lady,David Greene,Stany Zjednoczone,f,01:51:00,1978,f
970,Assassinio sul Nilo,John Guillermin,Wielka Brytania,f,02:20:00,1978,t
971,Bruce Lee supercampione,See-Yuen Ng,Hong Kong,f,01:30:00,1976,t
972,Il paradiso può attendere,"Warren Beatty, Buck Henry",Stany Zjednoczone,f,01:41:00,1978,t
973,Visite a domicilio,Howard Zieff,Stany Zjednoczone,f,01:38:00,1978,t
974,1964: Allarme a N.Y. arrivano i Beatles!,Robert Zemeckis,Stany Zjednoczone,f,01:44:00,1978,t
975,Criminal: UK,,Wielka Brytania,t,,2019,f
976,Lo squalo 2,Jeannot Szwarc,Stany Zjednoczone,f,01:56:00,1978,t
977,"Hallo Szpicbródka, czyli ostatni wystep króla kasiarzy","Mieczyslaw Jahoda, Janusz Rzeszewski",Polska,f,01:34:00,1978,t
978,Donna è meraviglia,George Kaczender,Kanada,f,01:50:00,1978,f
979,Hi no tori,Kon Ichikawa,Japonia,f,02:02:00,1978,t
980,Squadra speciale 44 magnum (La morte fa l'appello),Bruce Beresford,Australia,f,01:32:00,1978,t
981,Galactica: l'attacco dei cylon,"Vince Edwards, Christian I. Nyby II",Stany Zjednoczone,f,01:48:00,1979,t
